ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,IsHoliday_y,IsHoliday_y_lower,IsHoliday_y_upper,MarkDown1,MarkDown1_lower,MarkDown1_upper,MarkDown2,MarkDown2_lower,MarkDown2_upper,MarkDown3,MarkDown3_lower,MarkDown3_upper,MarkDown4,MarkDown4_lower,MarkDown4_upper,MarkDown5,MarkDown5_lower,MarkDown5_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-02-05,24223.18807988,24447.30924002032,39468.61302438887,24223.18807988,24223.18807988,0.0,0.0,0.0,-104.14212663981921,-104.14212663981921,-104.14212663981921,186.02050403900938,186.02050403900938,186.02050403900938,-31.71481925718753,-31.71481925718753,-31.71481925718753,24.03675369354083,24.03675369354083,24.03675369354083,243.02442341034077,243.02442341034077,243.02442341034077,7506.859965372148,7506.859965372148,7506.859965372148,317.2247352458843,317.2247352458843,317.2247352458843,-2052.561355775768,-2052.561355775768,-2052.561355775768,9242.196585902031,9242.196585902031,9242.196585902031,0.0,0.0,0.0,31730.048045252148
2010-02-12,24232.357881003267,31500.58640196756,45540.46138546449,24232.357881003267,24232.357881003267,0.0,0.0,0.0,-104.14212663981921,-104.14212663981921,-104.14212663981921,186.02050403900938,186.02050403900938,186.02050403900938,-31.71481925718753,-31.71481925718753,-31.71481925718753,24.03675369354083,24.03675369354083,24.03675369354083,243.02442341034077,243.02442341034077,243.02442341034077,14054.761083252404,14054.761083252404,14054.761083252404,317.2247352458843,317.2247352458843,317.2247352458843,-2052.561355775768,-2052.561355775768,-2052.561355775768,15790.097703782287,15790.097703782287,15790.097703782287,0.0,0.0,0.0,38287.11896425567
2010-02-19,24241.527682126536,29815.265170780593,44453.68620999498,24241.527682126536,24241.527682126536,0.0,0.0,0.0,-104.14212663981921,-104.14212663981921,-104.14212663981921,186.02050403900938,186.02050403900938,186.02050403900938,-31.71481925718753,-31.71481925718753,-31.71481925718753,24.03675369354083,24.03675369354083,24.03675369354083,243.02442341034077,243.02442341034077,243.02442341034077,12913.428761784731,12913.428761784731,12913.428761784731,317.2247352458843,317.2247352458843,317.2247352458843,-2052.561355775768,-2052.561355775768,-2052.561355775768,14648.765382314616,14648.765382314616,14648.765382314616,0.0,0.0,0.0,37154.956443911266
2010-02-26,24250.697483249805,21754.359577255964,36510.01823742612,24250.697483249805,24250.697483249805,0.0,0.0,0.0,-104.14212663981921,-104.14212663981921,-104.14212663981921,186.02050403900938,186.02050403900938,186.02050403900938,-31.71481925718753,-31.71481925718753,-31.71481925718753,24.03675369354083,24.03675369354083,24.03675369354083,243.02442341034077,243.02442341034077,243.02442341034077,4717.54900060848,4717.54900060848,4717.54900060848,317.2247352458843,317.2247352458843,317.2247352458843,-2052.561355775768,-2052.561355775768,-2052.561355775768,6452.885621138364,6452.885621138364,6452.885621138364,0.0,0.0,0.0,28968.246483858286
2010-03-05,24259.86728437307,12393.815104366986,26735.382439234807,24259.86728437307,24259.86728437307,0.0,0.0,0.0,-104.14212663981921,-104.14212663981921,-104.14212663981921,186.02050403900938,186.02050403900938,186.02050403900938,-31.71481925718753,-31.71481925718753,-31.71481925718753,24.03675369354083,24.03675369354083,24.03675369354083,243.02442341034077,243.02442341034077,243.02442341034077,-4708.911823678265,-4708.911823678265,-4708.911823678265,317.2247352458843,317.2247352458843,317.2247352458843,-2052.561355775768,-2052.561355775768,-2052.561355775768,-2973.5752031483817,-2973.5752031483817,-2973.5752031483817,0.0,0.0,0.0,19550.955460694808
2010-03-12,24269.037085496337,8939.21421289164,22951.702751280893,24269.037085496337,24269.037085496337,0.0,0.0,0.0,-104.14212663981921,-104.14212663981921,-104.14212663981921,186.02050403900938,186.02050403900938,186.02050403900938,-31.71481925718753,-31.71481925718753,-31.71481925718753,24.03675369354083,24.03675369354083,24.03675369354083,243.02442341034077,243.02442341034077,243.02442341034077,-8402.307233187428,-8402.307233187428,-8402.307233187428,317.2247352458843,317.2247352458843,317.2247352458843,-2052.561355775768,-2052.561355775768,-2052.561355775768,-6666.970612657543,-6666.970612657543,-6666.970612657543,0.0,0.0,0.0,15866.729852308908
2010-03-19,24278.206885515363,13488.387363865933,28304.40985379565,24278.206885515363,24278.206885515363,0.0,0.0,0.0,-104.14212663981921,-104.14212663981921,-104.14212663981921,186.02050403900938,186.02050403900938,186.02050403900938,-31.71481925718753,-31.71481925718753,-31.71481925718753,24.03675369354083,24.03675369354083,24.03675369354083,243.02442341034077,243.02442341034077,243.02442341034077,-3829.073238341869,-3829.073238341869,-3829.073238341869,317.2247352458843,317.2247352458843,317.2247352458843,-2052.5613557757674,-2052.5613557757674,-2052.5613557757674,-2093.7366178119855,-2093.7366178119855,-2093.7366178119855,0.0,0.0,0.0,20449.133647173494
2010-03-26,24287.376685534386,22115.07365138541,37097.746542165754,24287.376685534386,24287.376685534386,0.0,0.0,0.0,-104.14212663981921,-104.14212663981921,-104.14212663981921,186.02050403900938,186.02050403900938,186.02050403900938,-31.71481925718753,-31.71481925718753,-31.71481925718753,24.03675369354083,24.03675369354083,24.03675369354083,243.02442341034077,243.02442341034077,243.02442341034077,5101.852849721307,5101.852849721307,5101.852849721307,317.2247352458843,317.2247352458843,317.2247352458843,-2052.561355775768,-2052.561355775768,-2052.561355775768,6837.189470251191,6837.189470251191,6837.189470251191,0.0,0.0,0.0,29389.229535255694
2010-04-02,24296.546485553412,28713.956874843523,43599.83572259482,24296.546485553412,24296.546485553412,0.0,0.0,0.0,-104.14212663981921,-104.14212663981921,-104.14212663981921,186.02050403900938,186.02050403900938,186.02050403900938,-31.71481925718753,-31.71481925718753,-31.71481925718753,24.03675369354083,24.03675369354083,24.03675369354083,243.02442341034077,243.02442341034077,243.02442341034077,11607.350875866865,11607.350875866865,11607.350875866865,317.2247352458843,317.2247352458843,317.2247352458843,-2052.561355775768,-2052.561355775768,-2052.561355775768,13342.687496396751,13342.687496396751,13342.687496396751,0.0,0.0,0.0,35903.89736142028
2010-04-09,24305.71628557243,29003.64278665721,43345.07364087667,24305.71628557243,24305.71628557243,0.0,0.0,0.0,-104.14212663981921,-104.14212663981921,-104.14212663981921,186.02050403900938,186.02050403900938,186.02050403900938,-31.71481925718753,-31.71481925718753,-31.71481925718753,24.03675369354083,24.03675369354083,24.03675369354083,243.02442341034077,243.02442341034077,243.02442341034077,11742.12077487679,11742.12077487679,11742.12077487679,317.2247352458843,317.2247352458843,317.2247352458843,-2052.561355775768,-2052.561355775768,-2052.561355775768,13477.457395406675,13477.457395406675,13477.457395406675,0.0,0.0,0.0,36047.83706044922
